UserID,Discord Username,Avatar,Name,Rank,Race,Class,Weapon,Wins,Losses,Ties,Nickname
436253383251329035,xhorxhi,<:beacon:596111271053623346>,Disappointed,Warrior,Nord,Spellsword,Dual Shortswords and Frostbite,9,1,0,Yuri#7759
370044739145302016,murpple,🤤,Martin Urpple,Brawler,Dunmer,Spellsword,Longsword and Fire Magic,3,0,0,murpple
209679251526385665,Yuri,☪️,Turid Snow-Clad,Brawler,Nord,Monk,Hand-To-Hand,3,0,0,xhorxhi#4698
151122050839216128,MCMW10o1【Paid Moderator】,🗿,Ziggy,Brawler,Dunmer,Bard,Spoons and Sparks,2,1,1,Ziggy Dunmer Announcer
307469221175230464,Humble Altmer,🌞,Humble,Pit Dog,Altmer,Battlemage,Bound Sword,2,5,0,Mr. Shadowkey
322786659437641729,purplerhino83,<:feelsbadmer:585578406960168970>,CringNorman,Pit Dog,Dunmer,Nightblade,Shortsword & Bow,1,0,0,purplerhino83
516742702608416815,Barenziah,<:thonkeng:407932593183522816>,Autistziah,Pit Dog,Dunmer,Battlemage,Sword and Flames,1,0,0,Barenziah
300460586322362368,Badoomm,<:thonkVehk:357228960028950529>,Badoomm,Pit Dog,Dunmer,Mage,Staff,1,0,0,Badoomm
236483469574668289,Bazinga,🎅,Clauline,Pit Dog,Breton,Mage,Dagger and Staff,1,0,0,Clauline The Santa 🐉
167712420167417856,Mesozoic-Punk,🐸,Sharp-Scales,Pit Dog,Argonian,Rogue,Daggers,1,2,0,Mesozoic-Punk
374304750642135043,Muatra,😳,Neretard,Pit Dog,Breton,Monk,Hand-To-Hand,1,2,0,bgi chungas
469342236056879104,Gehenna,<:SCREEEEE:407924171234869260>,Gives-Her-Muatra,Pit Dog,Argonian,Warrior,Spear,0,0,0,Ruined Boots
324382502502268929,TheRealBananaMan76,<:thonkeng:407932593183522816>,Unit-69,Pit Dog,Dwemer Animunculus,Bard,Dwarven Spear,0,0,0,Unit-69 v2.0 (Banana Man)
349035730896683027,Phatpandav1,<:sweetshare:681317860513022063>,Uncle Sweetshare,Pit Dog,Nord,Alchemist,Wooden Staff,0,0,0,Uncle Sweetshare
244582479275622410,GreatUncle Sanguine Sbeve Novice,💛,Bonum of Daggerfall,Pit Dog,Imperial,Healer,Mace,0,1,0,SbevesGreatUncle
428610269288202241,butlem1,<:confusedredguard:596111271909261312>,Snow Dealer,Pit Dog,Redguard,Bard,Lute/Dagger,0,1,0,Talos stan account
